amount,hour,location_change,device_change,txn_count_24h,fraud
43186.53,15,1,0,15,1
2849.53,11,0,1,1,0
39508.14,23,1,0,12,1
21220.22,3,0,0,11,1
49837.29,16,1,0,2,1
25660.84,10,0,0,2,0
36475.1,17,0,1,11,1
22647.91,17,0,1,6,0
31666.25,1,0,1,2,1
34147.56,19,0,0,1,0
16422.76,21,1,1,1,0
14036.13,21,1,0,1,0
31104.18,22,1,1,6,1
5152.36,1,1,0,11,0
11094.05,16,1,1,3,0
47803.7,5,1,0,12,1
1117.7,5,1,1,8,0
49504.66,4,0,0,13,1
46552.5,10,0,1,6,0
21916.57,15,1,0,15,1
1200.47,20,1,1,7,0
38471.8,9,1,1,15,1
9949.15,2,1,1,12,1
16098.93,14,1,1,10,0
842.25,3,0,0,8,0
33736.89,8,1,0,13,1
24741.78,21,1,1,6,1
35101.73,19,1,0,14,1
27298.25,6,1,1,4,1
9256.78,5,0,0,12,0
19228.28,21,1,1,1,0
47374.63,5,0,1,13,1
31809.81,23,0,0,10,0
27944.34,6,0,1,9,0
44026.99,22,0,1,10,0
32086.6,0,1,0,8,1
42172.35,5,0,0,5,0
39823.77,16,1,1,14,1
3412.93,20,0,0,14,0
7641.58,18,0,1,5,0
27100.42,8,0,1,5,0
30016.21,9,1,1,2,1
29855.28,2,1,0,12,1
35132.72,21,1,0,8,1
14166.43,18,0,1,11,1
41753.73,4,0,0,11,1
35158.3,13,1,1,13,1
8971.22,13,0,1,5,0
14959.09,21,1,1,14,1
17007.82,9,0,1,11,1
45698.75,18,0,0,8,0
29646.85,4,0,0,4,1
25045.59,17,0,1,13,1
39076.06,5,0,1,7,0
36819.33,19,0,1,13,1
22013.49,19,1,1,7,1
45419.5,20,1,0,11,1
43842.87,8,1,0,10,1
44044.85,14,1,0,10,1
46692.96,7,1,1,7,1
27594.97,14,1,0,6,1
31142.62,20,0,1,13,1
8787.74,19,0,0,8,0
35848.12,5,0,1,5,0
47429.69,16,0,0,14,0
31359.89,16,1,1,1,1
33207.8,0,1,1,10,1
37444.7,1,1,1,12,1
46713.83,19,0,0,8,0
25430.27,7,0,1,2,0
17650.98,8,1,0,12,0
169.18,11,1,0,2,0
19721.63,4,1,0,12,1
3429.79,22,1,0,6,0
35586.38,12,1,1,1,1
28632.2,10,0,0,10,0
17640.34,0,0,0,14,1
41881.72,3,1,1,14,1
41245.46,15,1,1,2,1
5719.11,3,0,0,5,0
15785.84,12,1,1,11,1
10481.15,14,0,1,2,0
7060.15,3,1,1,9,0
19437.04,0,1,0,12,1
46600.02,9,0,1,2,0
4164.3,17,0,1,1,0
16036.54,18,0,0,3,0
42735.82,7,1,0,9,1
40557.72,5,0,1,11,1
17268.04,12,0,1,6,0
24825.61,13,1,1,12,1
48375.04,5,0,1,5,0
48622.13,3,0,0,10,1
24791.36,1,1,1,15,1
39888.82,18,0,1,14,1
2847.36,6,1,1,5,0
49862.57,23,0,0,5,0
2580.77,20,1,1,2,0
37303.84,3,1,1,14,1
5537.85,21,0,0,13,0
41777.31,8,1,0,13,1
41710.93,23,0,1,11,1
33865.15,19,0,0,1,0
9139.4,9,0,0,2,0
7493.09,0,1,1,1,0
10963.72,17,1,1,11,1
43560.13,14,0,1,11,1
33927.13,17,0,1,15,1
17076.87,1,1,1,12,1
13703.4,19,1,1,1,0
7723.3,18,1,1,5,0
9809.97,20,1,1,5,0
722.33,11,0,0,3,0
2756.98,4,1,1,3,0
8597.87,4,0,1,6,0
6959.92,12,0,0,9,0
6289.52,16,0,0,14,0
29717.32,14,1,1,14,1
32865.07,3,0,0,15,1
8494.91,9,0,0,3,0
40456.67,14,0,1,7,0
47470.6,6,0,1,7,0
44415.69,22,0,0,5,0
22965.25,19,1,1,11,1
40262.67,14,1,1,14,1
17798.44,11,0,1,6,0
14185.45,14,1,1,8,0
35020.87,15,0,0,2,0
37323.75,3,0,1,8,1
43530.02,22,1,1,7,1
46206.17,12,1,1,5,1
1259.47,16,1,0,3,0
27435.65,13,0,0,12,0
47610.58,5,0,0,11,0
8192.87,16,1,1,10,0
992.47,12,1,1,13,1
1098.48,16,0,1,10,0
31479.5,17,0,1,1,0
25543.97,23,1,1,11,1
15273.39,8,0,0,8,0
44252.06,2,1,0,8,1
5646.46,3,0,0,2,0
41666.55,17,1,0,11,1
3463.97,0,0,0,7,0
19657.24,3,1,1,3,1
40568.09,1,1,1,11,1
5676.37,21,0,0,8,0
46280.34,20,1,1,3,1
34385.67,11,1,0,14,1
16218.24,23,1,0,2,0
35816.89,10,1,1,13,1
6676.52,20,1,1,7,0
23437.8,16,0,1,13,1
30151.22,20,0,0,13,0
14407.94,18,1,1,4,0
23266.14,20,0,1,13,1
5771.16,11,1,0,4,0
20004.17,7,1,1,7,1
12719.03,23,0,1,3,0
44212.94,11,0,0,1,0
30971.24,4,1,1,10,1
17691.8,21,0,1,4,0
23906.8,4,0,1,5,1
17865.1,21,1,0,9,0
36101.55,2,1,0,13,1
18207.49,22,1,0,1,0
35276.21,8,1,1,9,1
3071.59,11,1,1,2,0
11169.69,16,0,1,4,0
15392.13,7,0,1,12,1
29848.8,21,1,1,10,1
43088.26,1,0,0,3,1
8470.11,18,1,1,2,0
18280.87,1,0,0,15,1
42572.52,15,1,0,1,1
23751.77,19,0,0,15,0
29883.85,14,0,0,14,0
11936.4,0,1,1,6,0
21605.54,9,0,1,4,0
14902.84,15,1,0,8,0
80.04,23,0,0,13,0
35984.03,5,1,1,12,1
18091.13,20,1,1,8,0
40077.65,6,1,0,3,1
36180.95,18,0,1,4,0
26574.34,15,0,0,11,0
9767.28,0,1,0,15,0
22511.89,5,1,1,4,1
17044.45,5,1,1,7,0
21481.33,18,1,1,12,1
42778.79,17,0,0,1,0
28394.42,16,0,1,11,1
31260.84,15,1,1,14,1
42614.2,11,1,1,9,1
26917.39,10,1,1,6,1
22156.14,17,0,1,2,0
9847.75,21,1,0,10,0
25794.77,20,1,1,2,1
20230.21,9,0,1,4,0
22167.16,2,0,0,6,1
18198.81,23,1,0,13,0
6586.95,4,1,1,8,0
6924.77,15,0,1,10,0
14068.62,8,0,0,12,0
8180.4,21,1,1,15,1
17900.66,7,0,0,10,0
49260.11,8,1,0,14,1
38503.75,11,0,1,5,0
42778.88,17,0,0,8,0
30079.31,18,1,0,14,1
28352.09,7,0,0,2,0
17465.62,13,0,1,8,0
24896.4,8,0,1,4,0
20416.74,8,0,1,2,0
29267.74,9,1,0,9,1
16494.63,5,0,1,13,1
47410.8,20,1,1,7,1
32602.27,3,1,1,2,1
12873.17,8,0,0,11,0
11116.61,20,1,0,8,0
33518.64,4,0,0,6,1
9572.38,17,1,1,9,0
17784.01,0,0,1,12,1
43244.96,18,0,0,5,0
45103.21,15,1,0,8,1
15261.37,23,0,1,2,0
30399.03,15,0,1,7,0
32222.32,4,1,1,13,1
39193.17,21,0,0,2,0
48576.82,12,1,1,12,1
39673.32,12,1,1,2,1
20727.14,17,1,0,15,1
26252.95,21,1,1,5,1
22053.58,12,0,0,10,0
12024.82,5,0,1,13,1
14374.0,2,1,0,11,0
19052.81,7,1,0,14,0
22113.42,9,1,1,9,1
22702.08,16,0,1,15,1
1397.49,6,1,1,4,0
25809.68,4,0,0,7,1
22662.53,2,0,0,2,1
7722.08,16,0,0,7,0
4139.69,10,0,1,5,0
3693.21,17,1,0,3,0
25981.07,16,1,1,10,1
49851.2,19,1,0,2,1
11629.43,1,1,1,11,1
26493.64,5,0,0,10,0
29378.44,20,1,0,12,1
27243.44,16,0,0,13,0
35802.54,21,1,1,10,1
40530.35,7,1,0,14,1
2089.39,21,0,1,7,0
29184.04,14,1,1,12,1
40046.25,6,0,1,10,0
35296.95,16,0,1,13,1
43279.66,8,0,1,9,0
31817.03,16,0,1,11,1
3562.75,21,0,0,7,0
21905.74,22,1,0,4,1
12524.24,17,1,1,13,1
19297.75,23,0,0,11,0
23235.45,19,0,1,6,0
27521.25,9,1,0,2,1
4233.12,22,0,1,10,0
16667.41,23,0,0,12,0
27282.99,7,0,1,12,1
10122.18,14,1,1,7,0
11212.45,3,1,0,6,0
48684.3,13,1,1,1,1
8883.12,11,1,0,5,0
29292.93,17,0,1,2,0
13700.48,6,1,1,8,0
18650.51,14,0,0,8,0
49260.53,11,1,0,8,1
44542.85,11,0,0,4,0
256.85,12,0,1,13,1
5275.85,8,1,0,7,0
42253.49,20,1,1,1,1
49259.24,7,1,0,11,1
7141.3,7,0,1,11,1
24042.92,23,1,0,2,1
48197.7,15,0,0,14,0
42764.96,0,0,0,1,1
5083.36,1,1,1,5,0
45622.98,8,0,1,2,0
3982.61,12,0,1,2,0
32027.6,5,0,1,11,1
41780.97,19,1,1,4,1
32617.43,8,0,1,11,1
8622.96,17,1,1,8,0
11717.28,7,0,1,1,0
12375.78,22,1,0,6,0
11500.73,21,0,0,4,0
2632.62,15,0,1,6,0
35656.12,21,1,1,12,1
39288.93,13,0,0,3,0
3935.91,23,1,0,2,0
38077.03,16,0,1,3,0
44636.42,19,1,1,12,1
46879.99,2,0,1,2,1
47655.84,14,0,0,15,0
5355.22,9,1,1,1,0
4791.34,17,1,1,8,0
48643.02,3,0,0,1,1
2736.89,20,0,1,14,1
32801.63,13,0,1,3,0
37625.59,10,1,0,11,1
8825.09,2,1,0,12,0
15145.46,18,1,0,3,0
16610.21,17,1,0,1,0
37051.08,11,1,0,13,1
5986.72,6,1,0,15,0
14222.19,22,1,1,13,1
14207.57,22,1,0,4,0
2064.08,5,0,0,14,0
16000.48,5,1,1,7,0
28864.69,3,0,1,14,1
47664.61,1,0,1,13,1
9464.34,20,0,1,12,1
13806.56,10,0,0,10,0
16589.88,18,0,1,1,0
34226.41,12,0,1,15,1
40912.1,15,0,1,11,1
37922.9,1,0,0,3,1
49336.41,5,0,0,6,0
1790.11,0,1,1,4,0
29077.1,3,1,1,3,1
45437.63,1,1,0,12,1
43097.55,5,1,0,2,1
33079.12,1,0,0,4,1
1368.81,5,1,0,7,0
20246.79,20,1,0,13,1
42032.42,11,0,0,14,0
42535.89,21,0,0,12,0
35410.22,14,0,1,8,0
46534.62,8,0,1,15,1
10046.76,19,0,1,4,0
16944.65,20,0,0,6,0
9285.74,3,1,0,2,0
6829.91,9,1,0,15,0
46753.14,1,0,0,4,1
3809.4,17,1,1,6,0
39579.24,3,1,0,4,1
27648.07,20,0,0,8,0
12272.27,11,1,0,6,0
2947.65,7,0,0,11,0
42128.96,8,1,1,2,1
9868.45,15,1,0,8,0
7844.23,12,1,0,3,0
32085.36,4,0,1,11,1
4406.42,10,1,0,4,0
29787.53,18,1,1,8,1
8144.88,11,1,0,14,0
49906.65,4,0,1,3,1
31162.52,14,1,0,4,1
3379.23,11,0,1,15,1
42498.81,17,1,1,5,1
40844.7,5,0,0,13,0
36489.64,7,0,1,10,0
42253.23,20,1,1,1,1
37529.2,8,0,1,5,0
23015.37,11,0,0,10,0
28165.05,21,0,1,3,0
9594.82,10,1,0,11,0
7294.91,2,1,0,3,0
32954.21,2,0,0,9,1
19755.15,16,0,0,9,0
8478.64,22,1,0,3,0
29821.55,13,0,0,15,0
35091.44,15,0,0,14,0
23120.36,4,0,0,9,1
10924.63,20,0,1,2,0
3226.8,8,0,1,12,1
46159.52,15,1,0,1,1
29205.93,19,1,0,7,1
6345.5,9,0,1,8,0
44906.62,21,0,0,12,0
49102.2,9,1,0,1,1
4380.36,1,1,1,5,0
13437.05,17,1,0,12,0
10934.89,0,0,0,9,0
22694.79,16,1,0,12,1
36582.9,16,1,1,14,1
32897.21,5,1,0,5,1
3854.89,4,1,0,12,0
35218.1,18,1,1,14,1
19225.61,11,1,0,6,0
45080.94,19,0,1,7,0
20342.58,0,1,1,8,1
14452.08,16,1,1,3,0
38789.05,20,1,0,11,1
2351.47,7,0,1,5,0
41779.07,1,0,0,4,1
27503.1,2,1,0,14,1
46512.65,5,1,0,9,1
27251.34,6,1,0,8,1
49870.15,8,1,0,11,1
35418.64,12,0,0,2,0
27883.91,16,1,0,11,1
27549.75,16,0,0,3,0
40713.25,6,0,0,6,0
41692.45,1,1,1,6,1
48739.59,9,1,0,9,1
17714.4,3,0,0,9,1
46952.04,20,0,1,10,0
22723.03,20,1,1,13,1
36223.24,8,1,0,12,1
8246.05,23,1,1,8,0
27844.09,23,1,1,4,1
6338.6,9,1,1,4,0
33879.59,21,1,1,9,1
6762.12,14,0,1,11,1
36156.06,2,0,1,14,1
30729.48,5,1,0,3,1
8800.54,15,0,1,15,1
49645.39,5,0,1,1,0
5549.58,18,1,1,14,1
30125.76,5,0,1,13,1
26788.39,6,0,0,12,0
36010.82,19,1,1,3,1
40455.11,19,0,0,11,0
44210.59,7,1,1,1,1
18902.68,19,1,1,10,0
19701.7,3,1,1,2,1
38461.12,7,0,1,5,0
27963.5,14,1,1,11,1
17305.17,18,0,1,11,1
49734.07,4,0,1,1,1
25977.63,5,1,0,5,1
7454.42,20,0,1,7,0
38051.06,20,1,1,12,1
35829.92,19,1,0,7,1
42032.2,7,0,1,4,0
20665.33,19,1,1,11,1
21322.28,21,0,1,4,0
35207.56,21,0,1,8,0
25258.93,12,1,1,8,1
8702.77,9,1,0,8,0
11566.26,22,1,1,13,1
12276.51,20,0,1,14,1
30519.46,8,1,0,14,1
49807.36,19,1,0,12,1
24532.24,4,0,0,5,1
9849.79,8,0,0,12,0
36101.65,13,1,0,14,1
10005.9,5,1,1,9,0
31704.49,10,1,1,4,1
33078.62,15,1,0,9,1
1900.91,16,1,1,4,0
1342.97,6,1,0,9,0
9562.88,22,1,0,7,0
7302.7,5,0,0,14,0
4467.67,6,0,1,1,0
19863.27,12,0,1,9,0
13945.07,11,0,1,2,0
43202.27,0,1,1,12,1
13628.52,10,0,1,6,0
15856.39,18,0,1,3,0
22605.41,23,0,0,1,0
21712.29,5,1,1,5,1
25462.15,3,1,1,11,1
26621.92,22,1,1,15,1
25810.86,3,1,0,12,1
22221.17,18,0,0,15,0
3572.54,3,0,1,12,1
26652.54,23,1,1,14,1
25319.16,11,0,0,14,0
26192.38,5,0,1,4,0
1449.59,5,0,0,10,0
19003.82,12,0,0,8,0
46798.46,21,0,0,4,0
26125.67,6,0,1,14,1
19139.99,13,1,0,5,0
28393.87,0,0,0,5,1
10776.56,21,1,1,12,1
2506.59,18,0,0,14,0
14638.69,3,1,0,7,0
19534.15,5,0,1,7,0
38563.28,11,1,0,14,1
29048.28,19,1,1,4,1
49919.36,12,1,1,13,1
16520.36,15,0,1,8,0
21297.71,16,1,1,8,1
36975.09,1,0,1,11,1
34779.2,15,1,1,7,1
16769.88,19,0,0,9,0
27800.61,15,1,0,5,1
26090.79,15,0,0,10,0
25888.16,14,1,1,1,1
28435.72,4,1,0,4,1
30984.66,22,0,0,13,0
4129.21,1,0,0,3,0
616.51,14,1,1,14,1
40573.91,18,1,0,12,1
3270.03,18,1,1,12,1
47668.91,21,0,0,12,0
30812.93,3,1,0,3,1
6476.32,22,0,1,6,0
35751.69,6,0,1,1,0
49615.84,6,0,1,12,1
3776.99,19,1,0,9,0
18275.13,12,0,0,14,0
10650.03,6,1,1,10,0
18768.38,13,1,0,3,0
6890.75,13,0,1,13,1
31842.3,23,1,0,10,1
43385.17,11,1,0,4,1
18639.47,7,1,1,8,0
20511.4,8,1,1,12,1
14532.84,15,1,1,5,0
3731.65,4,1,0,2,0
32222.65,13,0,1,9,0
13644.92,11,0,0,5,0
21627.65,7,0,0,14,0
36929.77,20,1,0,10,1
28558.22,17,0,0,10,0
33164.91,12,0,0,8,0
46691.11,23,1,0,8,1
26839.83,12,0,0,12,0
3844.8,19,1,0,6,0
20418.7,19,0,1,3,0
39211.45,9,1,0,3,1
44543.27,16,1,0,15,1
22288.64,8,0,0,14,0
15196.85,22,1,1,14,1
25058.2,18,1,0,14,1
36080.44,20,0,0,11,0
41145.67,1,1,1,12,1
30950.71,22,0,1,8,0
49164.47,14,0,1,13,1
9594.65,0,0,0,14,0
44679.42,8,0,0,14,0
5763.18,12,0,0,10,0
12541.62,15,0,0,10,0
240.57,17,1,1,3,0
26673.15,2,0,0,6,1
21555.66,14,0,1,9,0
15127.1,3,1,0,10,1
20921.08,18,1,1,13,1
7810.58,16,0,0,6,0
14294.41,12,0,1,2,0
13938.98,12,1,0,12,0
48304.16,23,0,1,7,0
47258.44,5,1,1,6,1
23817.69,6,0,1,2,0
13056.36,5,0,0,4,0
17164.04,3,1,1,5,1
6604.33,15,0,1,5,0
17952.71,19,1,0,7,0
29333.63,15,1,1,1,1
25390.47,1,1,1,4,1
3890.3,2,0,0,4,0
9788.67,12,1,0,13,0
9234.03,19,0,0,1,0
15571.33,2,0,1,1,1
44201.6,16,1,1,5,1
28157.44,8,0,1,3,0
10926.45,13,1,1,8,0
48683.81,22,0,1,10,0
32580.38,10,0,0,3,0
31438.81,12,1,0,9,1
32608.2,4,1,1,1,1
30321.7,9,1,0,4,1
44868.81,20,0,1,8,0
6535.99,11,1,0,11,0
14552.75,9,0,0,12,0
7727.12,8,1,1,9,0
23822.13,9,0,0,12,0
31361.59,22,1,1,11,1
9639.54,6,1,1,15,1
48232.85,11,0,0,14,0
37825.92,1,0,1,1,1
41185.65,21,1,1,15,1
41138.24,4,1,1,1,1
12357.05,3,1,1,11,1
19674.32,11,1,0,3,0
12210.51,18,1,0,14,0
23042.67,1,1,1,11,1
19142.54,19,0,0,12,0
15841.28,5,0,0,9,0
39049.15,16,1,1,15,1
26960.25,7,1,1,2,1
27606.4,7,1,1,10,1
21562.62,6,0,1,2,0
25549.93,0,0,0,14,1
19112.47,6,1,1,13,1
8991.9,14,0,1,11,1
29884.37,1,1,1,2,1
33026.9,0,0,1,7,1
32431.0,3,1,1,13,1
5954.82,0,0,1,14,1
35647.39,16,0,0,1,0
33880.4,13,0,0,3,0
32061.01,6,0,0,4,0
15678.21,5,1,0,2,0
37921.78,23,1,0,4,1
4326.04,4,0,0,3,0
41513.45,11,1,1,7,1
12118.62,23,0,1,3,0
10318.74,11,1,0,9,0
26041.0,6,1,1,8,1
935.81,19,0,1,4,0
40816.18,3,0,0,13,1
18396.98,22,1,0,1,0
44363.81,21,1,0,1,1
36615.24,5,1,0,1,1
25466.83,12,1,0,5,1
20711.09,1,0,0,4,1
39894.31,3,1,1,6,1
1323.67,17,1,0,8,0
46662.69,23,1,1,8,1
49302.89,9,0,0,14,0
10934.45,9,1,1,6,0
29205.68,15,0,1,8,0
29985.95,21,0,0,10,0
7018.45,12,1,1,8,0
3499.93,2,0,0,4,0
28268.77,2,0,1,2,1
41797.91,16,0,0,7,0
17633.81,11,1,0,13,0
15396.77,4,1,0,6,1
25019.68,14,1,0,9,1
46386.82,10,1,1,9,1
40113.92,7,1,1,12,1
45444.16,5,0,0,4,0
8462.06,1,0,0,10,0
36436.5,11,0,0,1,0
33099.13,17,0,0,7,0
49463.39,11,1,1,9,1
3141.43,7,0,1,7,0
30080.02,9,1,0,1,1
26617.7,19,1,0,2,1
19174.8,4,1,0,6,1
22440.65,6,0,0,5,0
